bigram,frequency,probability,language
ad,207857,0.00307657,en
os,206752,0.00306021,en
do,202896,0.00300314,en
ol,202211,0.002993,en
pa,200811,0.00297228,en
ie,198427,0.00293699,en
mo,198185,0.00293341,en
wa,194772,0.00288289,en
ef,194521,0.00287918,en
am,193721,0.00286734,en
ai,184057,0.0027243,en
oo,183738,0.00271958,en
po,180725,0.00267498,en
fi,179882,0.0026625,en
mi,179614,0.00265854,en
id,177748,0.00263092,en
su,175390,0.00259602,en
wh,174953,0.00258955,en
sp,173266,0.00256458,en
pl,171474,0.00253805,en
ft,169461,0.00250826,en
vi,169322,0.0025062,en
op,167754,0.00248299,en
ul,164676,0.00243743,en
ir,163823,0.00242481,en
ke,163309,0.0024172,en
im,161402,0.00238898,en
ev,161184,0.00238575,en
sc,160679,0.00237827,en
ab,159977,0.00236788,en
ga,158579,0.00234719,en
ds,157464,0.00233069,en
ay,156909,0.00232247,en
ia,150863,0.00223298,en
ig,150421,0.00222644,en
ry,149650,0.00221503,en
ty,149452,0.0022121,en
iv,148953,0.00220471,en
fe,148120,0.00219238,en
eb,145873,0.00215913,en
tu,141625,0.00209625,en
ap,140995,0.00208692,en
sw,140198,0.00207513,en
av,138919,0.0020562,en
od,138883,0.00205566,en
gh,138764,0.0020539,en
mp,138160,0.00204496,en
ld,137480,0.0020349,en
ci,136048,0.0020137,en
ag,135592,0.00200695,en
ls,134320,0.00198813,en
rd,130804,0.00193608,en
ht,130176,0.00192679,en
wo,128543,0.00190262,en
oc,127124,0.00188162,en
fr,125373,0.0018557,en
bl,124811,0.00184738,en
fa,124410,0.00184145,en
rm,124400,0.0018413,en
tw,123895,0.00183382,en
ey,122787,0.00181742,en
rc,121917,0.00180455,en
gi,121287,0.00179522,en
ov,121255,0.00179475,en
bo,120192,0.00177901,en
if,119556,0.0017696,en
ys,118749,0.00175766,en
go,118372,0.00175207,en
lt,117252,0.0017355,en
eg,115634,0.00171155,en
gr,115253,0.00170591,en
yt,115006,0.00170225,en
uc,113234,0.00167603,en
gt,110070,0.00162919,en
bu,110066,0.00162914,en
ya,109795,0.00162512,en
ex,107996,0.0015985,en
ba,106427,0.00157527,en
ck,100808,0.0014921,en
eh,99649,0.00147495,en
oa,99521,0.00147306,en
cl,98764,0.00146185,en
du,98137,0.00145257,en
rn,97037,0.00143629,en
sf,96972,0.00143533,en
ki,96215,0.00142412,en
ff,94474,0.00139835,en
tc,90527,0.00133993,en
ny,90329,0.001337,en
cr,89833,0.00132966,en
up,89707,0.0013278,en
pp,88222,0.00130582,en
dr,87832,0.00130004,en
sm,86923,0.00128659,en
ob,86208,0.00127601,en
oi,85828,0.00127038,en
pi,85038,0.00125869,en
ua,84997,0.00125808,en
ak,84663,0.00125314,en
cu,84103,0.00124485,en
rr,82585,0.00122238,en
ye,82181,0.0012164,en
lu,81428,0.00120526,en
nf,80705,0.00119455,en
db,79890,0.00118249,en
tl,79486,0.00117651,en
og,79131,0.00117126,en
sb,77200,0.00114268,en
ru,76670,0.00113483,en
yi,76144,0.00112705,en
um,75876,0.00112308,en
rk,75811,0.00112212,en
qu,74333,0.00110024,en
ue,74195,0.0010982,en
af,74148,0.0010975,en
va,73569,0.00108893,en
dw,73206,0.00108356,en
au,71330,0.00105579,en
bi,69462,0.00102814,en
sl,69242,0.00102489,en
dd,68608,0.0010155,en
rp,68598,0.00101535,en
rg,68294,0.00101086,en
gs,67742,0.00100268,en
tm,67625,0.00100095,en
nn,67354,0.00099694,en
fu,66741,0.00098787,en
ui,66718,0.00098753,en
ug,66708,0.00098738,en
by,66220,0.00098016,en
rl,65436,0.00096855,en
pt,65384,0.00096778,en
rf,65345,0.00096721,en
dc,63761,0.00094376,en
br,62879,0.00093071,en
mm,61492,0.00091018,en
nu,61234,0.00090636,en
nl,60762,0.00089937,en
ok,60758,0.00089931,en
ud,60613,0.00089717,en
mu,60077,0.00088923,en
ip,59901,0.00088663,en
ms,59564,0.00088164,en
tf,59219,0.00087653,en
sn,58469,0.00086543,en
df,58119,0.00086025,en
sy,57871,0.00085658,en
dm,57022,0.00084401,en
eu,55913,0.0008276,en
nm,55608,0.00082309,en
nw,55561,0.00082239,en
tp,55394,0.00081992,en
yc,55313,0.00081872,en
tb,55248,0.00081776,en
mb,54897,0.00081256,en
aw,54828,0.00081154,en
sd,54563,0.00080762,en
rw,54000,0.00079929,en
pu,53889,0.00079764,en
hr,53714,0.00079505,en
yw,53694,0.00079476,en
dp,53644,0.00079402,en
rb,52535,0.0007776,en
nb,52213,0.00077284,en
rv,51916,0.00076844,en
lp,51670,0.0007648,en
gu,49278,0.00072939,en
yp,49146,0.00072744,en
dh,49018,0.00072555,en
ks,48852,0.00072309,en
cc,48597,0.00071931,en
sr,48431,0.00071686,en
my,48155,0.00071277,en
ph,47955,0.00070981,en
dl,47462,0.00070251,en
np,45730,0.00067688,en
wn,45666,0.00067593,en
nk,45460,0.00067288,en
ib,45193,0.00066893,en
fl,45078,0.00066723,en
gn,44958,0.00066545,en
mt,44789,0.00066295,en
yb,43348,0.00064162,en
nh,43119,0.00063823,en
dy,42858,0.00063437,en
oe,42819,0.00063379,en
ps,42735,0.00063255,en
ub,42554,0.00062987,en
lf,42500,0.00062907,en
ym,42203,0.00062467,en
lc,41648,0.00061646,en
lb,41116,0.00060859,en
ik,40972,0.00060645,en
td,40922,0.00060571,en
yf,40610,0.0006011,en
ka,40419,0.00059827,en
gl,40250,0.00059577,en
rh,39702,0.00058766,en
xp,39546,0.00058535,en
ju,38909,0.00057592,en
oh,38643,0.00057198,en
sk,37607,0.00055665,en
oy,36460,0.00053967,en
nv,36432,0.00053926,en
yd,35791,0.00052977,en
dn,35706,0.00052851,en
dg,35454,0.00052478,en
iz,34732,0.00051409,en
fy,34722,0.00051395,en
yl,34559,0.00051153,en
hs,34329,0.00050813,en
hu,33700,0.00049882,en
lm,33533,0.00049635,en
jo,33087,0.00048975,en
hy,32490,0.00048091,en
yh,32456,0.00048041,en
ek,31827,0.0004711,en
ws,31528,0.00046667,en
yr,31432,0.00046525,en
nr,31356,0.00046412,en
vo,31148,0.00046105,en
eq,30987,0.00045866,en
lw,30283,0.00044824,en
ze,30034,0.00044456,en
tn,29490,0.00043651,en
sg,29352,0.00043446,en
fs,29025,0.00042962,en
kn,28929,0.0004282,en
ah,27971,0.00041402,en
bs,27669,0.00040955,en
xt,27440,0.00040616,en
gw,27204,0.00040267,en
gy,26910,0.00039832,en
gf,26842,0.00039731,en
wt,26780,0.00039639,en
fc,25461,0.00037687,en
gp,25215,0.00037323,en
kt,25149,0.00037225,en
gc,25115,0.00037175,en
ko,24872,0.00036815,en
je,24836,0.00036762,en
aa,24175,0.00035784,en
lr,24146,0.00035741,en
yn,23771,0.00035186,en
dv,23502,0.00034788,en
cs,23039,0.00034102,en
hc,22430,0.00033201,en
tg,22331,0.00033054,en
gg,22289,0.00032992,en
gm,22148,0.00032783,en
hm,21482,0.00031798,en
cy,20929,0.00030979,en
hn,20344,0.00030113,en
lv,19469,0.00028818,en
fm,19388,0.00028698,en
lh,19301,0.00028569,en
fp,18994,0.00028115,en
gb,18871,0.00027933,en
nj,18846,0.00027896,en
hw,18829,0.00027871,en
wr,18724,0.00027715,en
iw,18657,0.00027616,en
xi,18121,0.00026823,en
hl,17856,0.00026431,en
uw,17740,0.00026259,en
lk,17603,0.00026056,en
pm,17105,0.00025319,en
yg,16843,0.00024931,en
ja,16492,0.00024412,en
hp,16340,0.00024187,en
gd,15670,0.00023195,en
xc,15467,0.00022895,en
xa,15420,0.00022825,en
ln,15362,0.00022739,en
ih,15274,0.00022609,en
sv,15228,0.00022541,en
mc,15228,0.00022541,en
fw,15190,0.00022485,en
ej,15139,0.00022409,en
py,14989,0.00022187,en
mw,14971,0.00022161,en
mf,14744,0.00021825,en
fh,14587,0.00021592,en
uf,14566,0.00021561,en
hb,14341,0.00021228,en
lg,14263,0.00021113,en
hh,13968,0.00020676,en
hf,13664,0.00020226,en
ww,13365,0.00019783,en
oj,13311,0.00019703,en
hd,13137,0.00019446,en
za,13122,0.00019424,en
fd,12433,0.00018404,en
fb,12345,0.00018274,en
az,12213,0.00018078,en
yu,12157,0.00017995,en
kw,11872,0.00017574,en
kl,11746,0.00017387,en
kf,11710,0.00017334,en
ix,11527,0.00017063,en
ky,11495,0.00017016,en
xe,11280,0.00016697,en
uh,11270,0.00016683,en
ox,11130,0.00016475,en
ax,11101,0.00016432,en
ao,11022,0.00016315,en
zi,10876,0.00016099,en
ae,10787,0.00015968,en
tv,10655,0.00015772,en
wl,10462,0.00015487,en
yy,10191,0.00015085,en
iu,9851,0.00014582,en
uy,9769,0.00014461,en
dj,9768,0.00014459,en
pw,9734,0.00014409,en
sj,9665,0.00014307,en
pc,9473,0.00014023,en
mh,9467,0.00014014,en
ml,9387,0.00013895,en
aj,9337,0.00013821,en
wy,9183,0.00013594,en
mr,9121,0.00013502,en
wc,8637,0.00012785,en
bb,8605,0.00012738,en
wm,8470,0.00012538,en
pd,8393,0.00012424,en
fg,8322,0.00012319,en
mn,8262,0.0001223,en
pf,8228,0.0001218,en
uk,8187,0.00012119,en
bt,8187,0.00012119,en
sq,8103,0.00011995,en
kh,7963,0.00011788,en
tk,7946,0.00011763,en
md,7878,0.00011662,en
cp,7788,0.00011529,en
iq,7746,0.00011467,en
wd,7694,0.0001139,en
kb,7668,0.00011351,en
kc,7621,0.00011282,en
tj,7608,0.00011262,en
ii,7530,0.00011147,en
uo,7495,0.00011095,en
fn,7299,0.00010805,en
kp,6931,0.0001026,en
dk,6896,0.00010208,en
yv,6889,0.00010198,en
ku,6881,0.00010186,en
pb,6879,0.00010183,en
km,6711,9.935e-05,en
hg,6689,9.902e-05,en
rj,6530,9.667e-05,en
cm,6250,9.252e-05,en
wb,6135,9.082e-05,en
cd,6091,9.017e-05,en
kr,6073,8.99e-05,en
wp,6038,8.939e-05,en
zo,5987,8.863e-05,en
mg,5891,8.721e-05,en
wf,5782,8.56e-05,en
bj,5611,8.306e-05,en
yk,5501,8.144e-05,en
ez,5179,7.667e-05,en
yj,5143,7.614e-05,en
cb,5002,7.405e-05,en
cf,4860,7.195e-05,en
bm,4797,7.102e-05,en
kd,4556,6.745e-05,en
uv,4421,6.545e-05,en
aq,4294,6.357e-05,en
cw,4284,6.342e-05,en
kg,4208,6.23e-05,en
bc,3890,5.759e-05,en
pg,3849,5.699e-05,en
fv,3641,5.391e-05,en
rq,3593,5.32e-05,en
nq,3556,5.265e-05,en
gv,3551,5.257e-05,en
tq,3516,5.206e-05,en
ij,3389,5.018e-05,en
dq,3372,4.992e-05,en
hv,3282,4.859e-05,en
ji,3238,4.794e-05,en
nz,3231,4.784e-05,en
ux,3199,4.736e-05,en
oz,3172,4.696e-05,en
zz,3108,4.602e-05,en
tz,3055,4.523e-05,en
xo,3026,4.48e-05,en
fj,3018,4.469e-05,en
lj,2975,4.405e-05,en
cn,2974,4.403e-05,en
xh,2964,4.389e-05,en
pn,2896,4.288e-05,en
vs,2785,4.124e-05,en
bd,2744,4.063e-05,en
wu,2707,4.008e-05,en
mv,2685,3.976e-05,en
cg,2662,3.942e-05,en
xs,2641,3.911e-05,en
bp,2582,3.823e-05,en
hq,2466,3.651e-05,en
gj,2465,3.65e-05,en
vy,2453,3.632e-05,en
gk,2433,3.603e-05,en
fk,2383,3.529e-05,en
wg,2366,3.503e-05,en
xu,2341,3.466e-05,en
hj,2336,3.459e-05,en
hk,2297,3.401e-05,en
yq,2260,3.347e-05,en
bh,2256,3.341e-05,en
xm,2201,3.259e-05,en
cq,2193,3.247e-05,en
uu,2172,3.216e-05,en
zy,2150,3.184e-05,en
xy,2034,3.012e-05,en
bw,1952,2.891e-05,en
mj,1851,2.741e-05,en
cv,1849,2.738e-05,en
xf,1846,2.734e-05,en
oq,1800,2.666e-05,en
nx,1718,2.544e-05,en
iy,1705,2.525e-05,en
mk,1695,2.51e-05,en
uz,1691,2.504e-05,en
bv,1654,2.45e-05,en
xw,1642,2.432e-05,en
xb,1619,2.398e-05,en
kk,1603,2.374e-05,en
pk,1546,2.29e-05,en
bf,1520,2.251e-05,en
yz,1510,2.236e-05,en
bn,1502,2.225e-05,en
uj,1470,2.177e-05,en
zu,1460,2.162e-05,en
pv,1400,2.074e-05,en
rz,1342,1.988e-05,en
xr,1330,1.97e-05,en
sx,1329,1.969e-05,en
lq,1319,1.954e-05,en
wv,1308,1.937e-05,en
vr,1307,1.936e-05,en
wk,1291,1.912e-05,en
vu,1290,1.911e-05,en
xd,1276,1.89e-05,en
vp,1231,1.824e-05,en
kv,1216,1.801e-05,en
xl,1202,1.781e-05,en
vc,1189,1.761e-05,en
gq,1154,1.71e-05,en
qa,1108,1.641e-05,en
kj,1103,1.634e-05,en
tx,1096,1.624e-05,en
vd,1076,1.594e-05,en
dz,1069,1.584e-05,en
vt,1067,1.581e-05,en
zh,1060,1.57e-05,en
wj,1053,1.56e-05,en
zl,1052,1.559e-05,en
sz,1016,1.505e-05,en
fq,920,1.363e-05,en
bg,880,1.304e-05,en
js,873,1.294e-05,en
xx,866,1.283e-05,en
cj,848,1.257e-05,en
zt,840,1.245e-05,en
vm,787,1.166e-05,en
jp,781,1.157e-05,en
pj,760,1.126e-05,en
dx,754,1.117e-05,en
zs,747,1.107e-05,en
rx,745,1.104e-05,en
lz,723,1.072e-05,en
zc,686,1.017e-05,en
zw,658,9.75e-06,en
wz,635,9.41e-06,en
vl,631,9.35e-06,en
hz,631,9.35e-06,en
qw,603,8.94e-06,en
vn,593,8.79e-06,en
qi,588,8.72e-06,en
xn,586,8.69e-06,en
jc,578,8.57e-06,en
cz,575,8.53e-06,en
xg,574,8.51e-06,en
zm,572,8.48e-06,en
mq,554,8.21e-06,en
vf,552,8.19e-06,en
zb,548,8.13e-06,en
jr,546,8.1e-06,en
vw,544,8.07e-06,en
ql,529,7.84e-06,en
vb,519,7.7e-06,en
pq,507,7.52e-06,en
vv,459,6.81e-06,en
gz,459,6.81e-06,en
jm,457,6.78e-06,en
vh,435,6.45e-06,en
mx,419,6.22e-06,en
fz,409,6.07e-06,en
xv,408,6.05e-06,en
zr,396,5.88e-06,en
uq,396,5.88e-06,en
qf,396,5.88e-06,en
zf,395,5.86e-06,en
vg,394,5.85e-06,en
zp,388,5.76e-06,en
yx,383,5.68e-06,en
kq,382,5.67e-06,en
fx,381,5.65e-06,en
zd,378,5.61e-06,en
wq,368,5.46e-06,en
bq,366,5.43e-06,en
jn,359,5.33e-06,en
lx,356,5.28e-06,en
jd,355,5.27e-06,en
qs,348,5.17e-06,en
jh,348,5.17e-06,en
bk,338,5.02e-06,en
gx,336,4.99e-06,en
jb,331,4.91e-06,en
mz,314,4.66e-06,en
jt,313,4.65e-06,en
zn,304,4.51e-06,en
té,300,4.46e-06,en
és,292,4.34e-06,en
qt,288,4.28e-06,en
zg,284,4.22e-06,en
qc,282,4.19e-06,en
jw,276,4.1e-06,en
jk,272,4.04e-06,en
qh,264,3.92e-06,en
fé,262,3.89e-06,en
ré,261,3.88e-06,en
éc,252,3.74e-06,en
zk,251,3.73e-06,en
qm,247,3.67e-06,en
dé,244,3.63e-06,en
hx,241,3.58e-06,en
xq,236,3.51e-06,en
án,226,3.36e-06,en
wx,224,3.33e-06,en
cx,223,3.32e-06,en
px,223,3.32e-06,en
ón,220,3.27e-06,en
xk,220,3.27e-06,en
qd,215,3.2e-06,en
jl,209,3.11e-06,en
zv,199,2.96e-06,en
jf,196,2.92e-06,en
qb,193,2.87e-06,en
ée,189,2.81e-06,en
sé,188,2.8e-06,en
pz,185,2.75e-06,en
éa,176,2.62e-06,en
jj,176,2.62e-06,en
qo,174,2.59e-06,en
ür,172,2.56e-06,en
jg,171,2.55e-06,en
vk,169,2.52e-06,en
ér,165,2.46e-06,en
kz,165,2.46e-06,en
xj,163,2.43e-06,en
ém,160,2.38e-06,en
ét,159,2.37e-06,en
jv,158,2.35e-06,en
qe,158,2.35e-06,en
qr,158,2.35e-06,en
qp,143,2.13e-06,en
lé,137,2.04e-06,en
bz,134,2e-06,en
ín,134,2e-06,en
ió,132,1.97e-06,en
fü,130,1.94e-06,en
mé,130,1.94e-06,en
ía,124,1.85e-06,en
ör,119,1.78e-06,en
né,118,1.76e-06,en
kx,117,1.75e-06,en
vj,109,1.63e-06,en
bx,108,1.61e-06,en
én,107,1.6e-06,en
éi,106,1.58e-06,en
âs,105,1.57e-06,en
añ,104,1.55e-06,en
än,103,1.54e-06,en
rí,100,1.49e-06,en
hé,99,1.48e-06,en
cé,98,1.47e-06,en
qy,96,1.44e-06,en
ça,96,1.44e-06,en
éd,96,1.44e-06,en
jy,96,1.44e-06,en
qq,96,1.44e-06,en
ño,95,1.42e-06,en
är,94,1.41e-06,en
ál,94,1.41e-06,en
zj,94,1.41e-06,en
ná,93,1.39e-06,en
qv,92,1.38e-06,en
ké,91,1.36e-06,en
él,87,1.3e-06,en
má,87,1.3e-06,en
ña,84,1.26e-06,en
lá,84,1.26e-06,en
vx,83,1.24e-06,en
ás,82,1.23e-06,en
éb,82,1.23e-06,en
lí,82,1.23e-06,en
nç,81,1.21e-06,en
ár,81,1.21e-06,en
xz,80,1.2e-06,en
èr,80,1.2e-06,en
ué,80,1.2e-06,en
ép,79,1.18e-06,en
jq,75,1.12e-06,en
tä,74,1.11e-06,en
aï,74,1.11e-06,en
zq,73,1.1e-06,en
rö,70,1.05e-06,en
rá,68,1.02e-06,en
éo,68,1.02e-06,en
tí,67,1.01e-06,en
üc,67,1.01e-06,en
ât,67,1.01e-06,en
ön,66,9.9e-07,en
ró,66,9.9e-07,en
üb,65,9.8e-07,en
íp,63,9.5e-07,en
nâ,62,9.3e-07,en
ão,61,9.2e-07,en
sâ,61,9.2e-07,en
kö,61,9.2e-07,en
pé,60,9e-07,en
iè,59,8.9e-07,en
mü,58,8.7e-07,en
tá,58,8.7e-07,en
qg,58,8.7e-07,en
jö,56,8.4e-07,en
če,56,8.4e-07,en
öl,56,8.4e-07,en
ái,56,8.4e-07,en
aç,55,8.3e-07,en
ní,55,8.3e-07,en
lä,55,8.3e-07,en
zx,54,8.1e-07,en
ví,54,8.1e-07,en
ís,53,8e-07,en
hä,53,8e-07,en
ät,53,8e-07,en
tà,53,8e-07,en
eñ,52,7.8e-07,en
rè,52,7.8e-07,en
há,52,7.8e-07,en
ün,52,7.8e-07,en
aí,52,7.8e-07,en
eâ,51,7.7e-07,en
éf,50,7.5e-07,en
tâ,50,7.5e-07,en
rä,49,7.4e-07,en
ío,48,7.3e-07,en
hö,47,7.1e-07,en
qn,47,7.1e-07,en
ká,47,7.1e-07,en
úl,47,7.1e-07,en
rü,46,7e-07,en
ég,46,7e-07,en
ús,46,7e-07,en
gé,46,7e-07,en
ló,45,6.8e-07,en
év,44,6.7e-07,en
éw,43,6.5e-07,en
có,43,6.5e-07,en
cá,42,6.4e-07,en
ić,42,6.4e-07,en
tó,41,6.2e-07,en
íc,41,6.2e-07,en
nü,41,6.2e-07,en
ès,41,6.2e-07,en
ço,40,6.1e-07,en
äl,40,6.1e-07,en
ié,40,6.1e-07,en
ül,40,6.1e-07,en
üs,38,5.8e-07,en
àa,38,5.8e-07,en
èm,37,5.6e-07,en
qk,37,5.6e-07,en
lü,37,5.6e-07,en
jz,37,5.6e-07,en
ös,36,5.5e-07,en
râ,36,5.5e-07,en
tü,36,5.5e-07,en
mö,36,5.5e-07,en
vq,36,5.5e-07,en
hú,36,5.5e-07,en
yá,36,5.5e-07,en
àl,36,5.5e-07,en
ân,35,5.3e-07,en
gü,35,5.3e-07,en
vé,34,5.2e-07,en
iñ,34,5.2e-07,en
dí,34,5.2e-07,en
eé,34,5.2e-07,en
jx,34,5.2e-07,en
vz,33,5e-07,en
pä,33,5e-07,en
ác,33,5e-07,en
öm,32,4.9e-07,en
âœ,32,4.9e-07,en
dâ,32,4.9e-07,en
áo,31,4.7e-07,en
bé,31,4.7e-07,en
cí,31,4.7e-07,en
gö,31,4.7e-07,en
ââ,31,4.7e-07,en
êt,30,4.6e-07,en
sà,30,4.6e-07,en
âi,30,4.6e-07,en
ór,29,4.4e-07,en
ól,29,4.4e-07,en
mā,29,4.4e-07,en
ël,28,4.3e-07,en
óm,27,4.1e-07,en
éh,27,4.1e-07,en
lö,27,4.1e-07,en
uí,27,4.1e-07,en
fá,26,4e-07,en
üh,26,4e-07,en
àn,26,4e-07,en
nä,26,4e-07,en
sö,26,4e-07,en
éu,26,4e-07,en
âa,25,3.8e-07,en
qx,25,3.8e-07,en
mí,25,3.8e-07,en
öf,25,3.8e-07,en
sá,25,3.8e-07,en
öt,25,3.8e-07,en
eà,25,3.8e-07,en
ói,25,3.8e-07,en
aé,24,3.7e-07,en
äu,24,3.7e-07,en
tú,24,3.7e-07,en
óp,24,3.7e-07,en
lè,24,3.7e-07,en
iú,23,3.6e-07,en
fö,23,3.6e-07,en
kä,23,3.6e-07,en
ám,23,3.6e-07,en
öd,23,3.6e-07,en
iá,23,3.6e-07,en
mä,23,3.6e-07,en
mó,23,3.6e-07,en
sã,22,3.4e-07,en
dü,22,3.4e-07,en
ān,22,3.4e-07,en
qz,22,3.4e-07,en
äs,22,3.4e-07,en
jä,22,3.4e-07,en
ła,22,3.4e-07,en
ót,22,3.4e-07,en
âc,22,3.4e-07,en
oë,22,3.4e-07,en
sä,22,3.4e-07,en
gā,22,3.4e-07,en
år,22,3.4e-07,en
nč,22,3.4e-07,en
ºc,21,3.3e-07,en
ïv,21,3.3e-07,en
vá,21,3.3e-07,en
sü,21,3.3e-07,en
üg,21,3.3e-07,en
kü,21,3.3e-07,en
nó,21,3.3e-07,en
çe,21,3.3e-07,en
ên,21,3.3e-07,en
hâ,21,3.3e-07,en
tè,21,3.3e-07,en
ág,20,3.1e-07,en
bü,20,3.1e-07,en
uâ,20,3.1e-07,en
vä,20,3.1e-07,en
št,20,3.1e-07,en
ít,20,3.1e-07,en
yâ,20,3.1e-07,en
dá,20,3.1e-07,en
ße,19,3e-07,en
ún,19,3e-07,en
âw,19,3e-07,en
ñe,19,3e-07,en
wö,19,3e-07,en
ôt,19,3e-07,en
āo,19,3e-07,en
hí,19,3e-07,en
dó,19,3e-07,en
sø,19,3e-07,en
üt,18,2.8e-07,en
pá,18,2.8e-07,en
eó,18,2.8e-07,en
äi,18,2.8e-07,en
ád,18,2.8e-07,en
aš,18,2.8e-07,en
hô,18,2.8e-07,en
sí,18,2.8e-07,en
gä,18,2.8e-07,en
àv,18,2.8e-07,en
qj,18,2.8e-07,en
âm,18,2.8e-07,en
lâ,18,2.8e-07,en
âr,18,2.8e-07,en
ír,18,2.8e-07,en
eá,18,2.8e-07,en
ør,18,2.8e-07,en
äg,17,2.7e-07,en
či,17,2.7e-07,en
ów,17,2.7e-07,en
ód,17,2.7e-07,en
âh,17,2.7e-07,en
íl,17,2.7e-07,en
öc,17,2.7e-07,en
aú,17,2.7e-07,en
éj,17,2.7e-07,en
eš,17,2.7e-07,en
ós,17,2.7e-07,en
óg,17,2.7e-07,en
rú,17,2.7e-07,en
oâ,17,2.7e-07,en
ša,17,2.7e-07,en
oá,17,2.7e-07,en
úi,17,2.7e-07,en
ïs,17,2.7e-07,en
jō,17,2.7e-07,en
íg,16,2.5e-07,en
wü,16,2.5e-07,en
oé,16,2.5e-07,en
íd,16,2.5e-07,en
tö,16,2.5e-07,en
fä,16,2.5e-07,en
áv,16,2.5e-07,en
ší,16,2.5e-07,en
äh,16,2.5e-07,en
hü,16,2.5e-07,en
só,16,2.5e-07,en
ãâ,16,2.5e-07,en
aş,16,2.5e-07,en
dú,16,2.5e-07,en
áa,16,2.5e-07,en
àt,16,2.5e-07,en
át,16,2.5e-07,en
èn,16,2.5e-07,en
lḏ,16,2.5e-07,en
ḏa,16,2.5e-07,en
aṟ,16,2.5e-07,en
ṟg,16,2.5e-07,en
hū,16,2.5e-07,en
ūq,16,2.5e-07,en
rã,15,2.4e-07,en
âv,15,2.4e-07,en
ög,15,2.4e-07,en
äc,15,2.4e-07,en
eü,15,2.4e-07,en
gâ,15,2.4e-07,en
éx,15,2.4e-07,en
mø,15,2.4e-07,en
jó,15,2.4e-07,en
ič,15,2.4e-07,en
ôm,15,2.4e-07,en
ºf,14,2.2e-07,en
zá,14,2.2e-07,en
öh,14,2.2e-07,en
gó,14,2.2e-07,en
üd,14,2.2e-07,en
öb,14,2.2e-07,en
àd,14,2.2e-07,en
în,14,2.2e-07,en
ết,14,2.2e-07,en
ën,14,2.2e-07,en
āt,14,2.2e-07,en
aâ,13,2.1e-07,en
iš,13,2.1e-07,en
wä,13,2.1e-07,en
rê,13,2.1e-07,en
rð,13,2.1e-07,en
óc,13,2.1e-07,en
mú,13,2.1e-07,en
zó,13,2.1e-07,en
là,13,2.1e-07,en
rà,13,2.1e-07,en
rø,13,2.1e-07,en
kī,13,2.1e-07,en
nà,13,2.1e-07,en
āk,13,2.1e-07,en
eç,13,2.1e-07,en
aë,13,2.1e-07,en
ià,13,2.1e-07,en
ðu,13,2.1e-07,en
bö,12,1.9e-07,en
ím,12,1.9e-07,en
hà,12,1.9e-07,en
áz,12,1.9e-07,en
